kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at
4,4,1,5,1,1,1,5,true,2025-08-16,KvK #4,a,2026-01-25T23:26:55.969Z,2026-01-25T23:26:55.969Z
12,4,2,4,4,2,4,2,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.003Z,2026-01-25T23:26:56.003Z
19,4,3,6,3,3,3,6,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.033Z,2026-01-25T23:26:56.033Z
39,4,7,10,7,10,7,10,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.112Z,2026-01-25T23:26:56.112Z
47,4,8,9,9,8,9,8,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.144Z,2026-01-25T23:26:56.144Z
67,4,11,13,13,13,13,11,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.229Z,2026-01-25T23:26:56.229Z
74,4,12,24,12,24,12,24,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.256Z,2026-01-25T23:26:56.256Z
81,4,14,20,20,14,20,14,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.284Z,2026-01-25T23:26:56.284Z
84,4,15,19,19,19,19,15,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.292Z,2026-01-25T23:26:56.292Z
89,4,16,25,16,25,16,25,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.309Z,2026-01-25T23:26:56.309Z
95,4,17,18,17,18,17,18,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.327Z,2026-01-25T23:26:56.327Z
122,4,22,23,22,22,22,23,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.406Z,2026-01-25T23:26:56.406Z
140,4,26,57,57,57,57,26,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.450Z,2026-01-25T23:26:56.450Z
143,4,27,34,34,27,34,27,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.458Z,2026-01-25T23:26:56.458Z
146,4,28,96,96,28,96,28,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.465Z,2026-01-25T23:26:56.465Z
153,4,29,32,32,32,32,29,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.482Z,2026-01-25T23:26:56.482Z
159,4,30,93,93,30,93,30,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.497Z,2026-01-25T23:26:56.497Z
163,4,31,73,73,73,73,31,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.507Z,2026-01-25T23:26:56.507Z
170,4,33,71,33,33,33,71,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.525Z,2026-01-25T23:26:56.525Z
179,4,35,124,124,35,124,35,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.550Z,2026-01-25T23:26:56.550Z
183,4,36,116,116,36,116,36,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.560Z,2026-01-25T23:26:56.560Z
187,4,37,140,140,37,140,37,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.571Z,2026-01-25T23:26:56.571Z
192,4,38,152,152,38,152,38,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.585Z,2026-01-25T23:26:56.585Z
198,4,39,110,39,39,39,110,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.601Z,2026-01-25T23:26:56.601Z
202,4,40,172,172,172,172,40,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.612Z,2026-01-25T23:26:56.612Z
206,4,41,105,105,105,105,41,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.622Z,2026-01-25T23:26:56.622Z
211,4,42,166,166,42,166,42,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.635Z,2026-01-25T23:26:56.635Z
213,4,43,113,113,43,113,43,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.639Z,2026-01-25T23:26:56.639Z
217,4,44,163,163,163,163,44,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.650Z,2026-01-25T23:26:56.650Z
223,4,45,59,59,45,59,45,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.674Z,2026-01-25T23:26:56.674Z
227,4,46,129,129,129,129,46,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.690Z,2026-01-25T23:26:56.690Z
233,4,47,94,94,47,94,47,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.710Z,2026-01-25T23:26:56.710Z
239,4,48,84,84,48,84,48,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.730Z,2026-01-25T23:26:56.730Z
244,4,49,85,49,49,49,85,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.745Z,2026-01-25T23:26:56.745Z
249,4,50,56,50,50,50,56,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.757Z,2026-01-25T23:26:56.757Z
253,4,51,145,145,51,145,51,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.767Z,2026-01-25T23:26:56.767Z
258,4,52,112,112,112,112,52,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.779Z,2026-01-25T23:26:56.779Z
264,4,53,101,101,101,101,53,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.795Z,2026-01-25T23:26:56.795Z
267,4,54,103,103,54,103,54,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.804Z,2026-01-25T23:26:56.804Z
271,4,55,100,55,100,55,100,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.816Z,2026-01-25T23:26:56.816Z
280,4,58,78,78,58,78,58,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.839Z,2026-01-25T23:26:56.839Z
284,4,60,90,90,90,90,60,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.849Z,2026-01-25T23:26:56.849Z
287,4,61,139,61,61,61,139,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.856Z,2026-01-25T23:26:56.856Z
289,4,62,79,79,62,79,62,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.861Z,2026-01-25T23:26:56.861Z
291,4,63,159,159,159,159,63,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.866Z,2026-01-25T23:26:56.866Z
294,4,64,164,164,64,164,64,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.874Z,2026-01-25T23:26:56.874Z
296,4,65,126,126,65,126,65,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.879Z,2026-01-25T23:26:56.879Z
298,4,66,70,66,66,66,70,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.884Z,2026-01-25T23:26:56.884Z
300,4,67,68,67,67,67,68,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.890Z,2026-01-25T23:26:56.890Z
307,4,69,156,156,69,156,69,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.909Z,2026-01-25T23:26:56.909Z
325,4,72,137,137,137,137,72,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.966Z,2026-01-25T23:26:56.966Z
338,4,74,97,74,74,74,97,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.004Z,2026-01-25T23:26:57.004Z
343,4,75,109,109,75,109,75,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.018Z,2026-01-25T23:26:57.018Z
349,4,76,115,115,76,115,76,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.038Z,2026-01-25T23:26:57.038Z
356,4,77,153,153,77,153,77,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.067Z,2026-01-25T23:26:57.067Z
370,4,80,135,80,135,80,135,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.118Z,2026-01-25T23:26:57.118Z
